city,lons,lats
istanbul,28.8064262478,41.0296867174
istanbul,28.8079986399,41.0396144103
istanbul,28.8101912942,41.0494237819
istanbul,28.8129955574,41.0590761191
istanbul,28.8164003623,41.0685333284
istanbul,28.8203922716,41.0777580867
istanbul,28.8249555312,41.0867139879
istanbul,28.8300721319,41.0953656872
istanbul,28.8357218809,41.1036790404
istanbul,28.8418824812,41.1116212384
istanbul,28.8485296196,41.1191609369
istanbul,28.8556370631,41.1262683804
istanbul,28.8631767616,41.1329155188
istanbul,28.8711189596,41.1390761191
istanbul,28.8794323128,41.1447258681
istanbul,28.8880840121,41.1498424688
istanbul,28.8970399133,41.1544057284
istanbul,28.9062646716,41.1583976377
istanbul,28.9157218809,41.1618024426
istanbul,28.9253742181,41.1646067058
istanbul,28.9351835897,41.1667993601
istanbul,28.9451112826,41.1683717522
istanbul,28.9551181169,41.1693176765
istanbul,28.9651646,41.1696334
tokyo,139.7589667,35.8428378
tokyo,139.769013183,35.8425220765
tokyo,139.779020017,35.8415761522
tokyo,139.78894771,35.8400037601
tokyo,139.798757082,35.8378111058
tokyo,139.808409419,35.8350068426
tokyo,139.817866628,35.8316020377
tokyo,139.827091387,35.8276101284
tokyo,139.836047288,35.8230468688
tokyo,139.844698987,35.8179302681
tokyo,139.85301234,35.8122805191
tokyo,139.860954538,35.8061199188
tokyo,139.868494237,35.7994727804
tokyo,139.87560168,35.7923653369
tokyo,139.882248819,35.7848256384
tokyo,139.888409419,35.7768834404
tokyo,139.894059168,35.7685700872
tokyo,139.899175769,35.7599183879
tokyo,139.903739028,35.7509624867
tokyo,139.907730938,35.7417377284
tokyo,139.911135743,35.7322805191
tokyo,139.913940006,35.7226281819
tokyo,139.91613266,35.7128188103
tokyo,139.917705052,35.7028911174
tokyo,139.918650977,35.6928842831
tokyo,139.9189667,35.6828378
tokyo,139.918650977,35.6727913169
tokyo,139.917705052,35.6627844826
tokyo,139.91613266,35.6528567897
tokyo,139.913940006,35.6430474181
tokyo,139.911135743,35.6333950809
tokyo,139.907730938,35.6239378716
tokyo,139.903739028,35.6147131133
tokyo,139.899175769,35.6057572121
tokyo,139.894059168,35.5971055128
tokyo,139.888409419,35.5887921596
tokyo,139.882248819,35.5808499616
tokyo,139.87560168,35.5733102631
tokyo,139.868494237,35.5662028196
tokyo,139.860954538,35.5595556812
tokyo,139.85301234,35.5533950809
tokyo,139.844698987,35.5477453319
tokyo,139.836047288,35.5426287312
tokyo,139.827091387,35.5380654716
tokyo,139.817866628,35.5340735623
tokyo,139.808409419,35.5306687574
tokyo,139.798757082,35.5278644942
tokyo,139.78894771,35.5256718399
tokyo,139.779020017,35.5240994478
tokyo,139.769013183,35.5231535235
tokyo,139.7589667,35.5228378
tokyo,139.748920217,35.5231535235
tokyo,139.738913383,35.5240994478
tokyo,139.72898569,35.5256718399
tokyo,139.719176318,35.5278644942
tokyo,139.709523981,35.5306687574
tokyo,139.700066772,35.5340735623
tokyo,139.690842013,35.5380654716
tokyo,139.681886112,35.5426287312
tokyo,139.673234413,35.5477453319
tokyo,139.66492106,35.5533950809
tokyo,139.656978862,35.5595556812
tokyo,139.649439163,35.5662028196
tokyo,139.64233172,35.5733102631
tokyo,139.635684581,35.5808499616
tokyo,139.629523981,35.5887921596
tokyo,139.623874232,35.5971055128
tokyo,139.618757631,35.6057572121
tokyo,139.614194372,35.6147131133
tokyo,139.610202462,35.6239378716
tokyo,139.606797657,35.6333950809
tokyo,139.603993394,35.6430474181
tokyo,139.60180074,35.6528567897
tokyo,139.600228348,35.6627844826
tokyo,139.599282423,35.6727913169
tokyo,139.5989667,35.6828378
tokyo,139.599282423,35.6928842831
tokyo,139.600228348,35.7028911174
tokyo,139.60180074,35.7128188103
tokyo,139.603993394,35.7226281819
tokyo,139.606797657,35.7322805191
tokyo,139.610202462,35.7417377284
tokyo,139.614194372,35.7509624867
tokyo,139.618757631,35.7599183879
tokyo,139.623874232,35.7685700872
tokyo,139.629523981,35.7768834404
tokyo,139.635684581,35.7848256384
tokyo,139.64233172,35.7923653369
